Expanded Page Candidate,Primary Keyword,Original Production Decision,Effective Semantic Decision,Final Content Decision,Final URL,Final H1,Final Page Type,Final Content Status,Alignment Action,Final Menu Location,Canonical Candidate,Content File
Shop All Electric Dirt Bikes,electric dirt bike,Build now,Build now,Build now,/shop/,Shop Electric Dirt Bikes,Collection,draft-data-needed,Standalone page,Header Main,Shop Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\shop-all.md
Electric Dirt Bikes for Adults,electric dirt bike for adults,Build now,Build now,Build now,/adult-dirt-bikes/,Electric Dirt Bikes for Adults,Collection / Pillar,draft-data-needed,Standalone page,Header Main,Electric Dirt Bikes for Adults,D:\Electric Dirt Bike\site-content\pages\adult-dirt-bikes.md
Electric Dirt Bikes for Kids,electric dirt bike for kids,Build now,Build now,Build now,/kids-youth/,Electric Dirt Bikes for Kids & Youth,Collection / Pillar,draft-data-needed,Standalone page,Header Main,Electric Dirt Bikes for Kids & Youth,D:\Electric Dirt Bike\site-content\pages\kids-youth.md
Electric Dirt Bikes for Sale,electric dirt bikes for sale,Build now,Build now,Merge into parent/FAQ,/shop/,Shop Electric Dirt Bikes,Merged Section / FAQ,draft-data-needed,Merge into Shop All canonical page,SEO Section / Not Standalone,Shop Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\shop-all.md
Electric Dirt Bikes for Teens and Youth,electric dirt bike for teens,Build now,Build now,Build later,/kids-youth/teens/,Electric Dirt Bikes for Teens & Youth,Collection / Guide,hold-product-eligibility,Standalone page,Header Dropdown,Electric Dirt Bikes for Teens & Youth,D:\Electric Dirt Bike\site-content\pages\kids-teens.md
72V Electric Dirt Bikes,72v electric dirt bikes,Build now,Build now,Build now,/adult-dirt-bikes/72v/,72V Electric Dirt Bikes,Collection / Guide,draft-data-needed,Standalone page,Header Dropdown,72V Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\adult-72v.md
Electric Dirt Bikes for Ages 8-12,electric dirt bike for 10 year old,Build now,Build now,Build now,/kids-youth/ages-8-12/,Electric Dirt Bikes for Ages 8-12,Collection / Guide,draft-data-needed,Standalone page,Header Dropdown,Electric Dirt Bikes for Ages 8-12,D:\Electric Dirt Bike\site-content\pages\kids-ages-8-12.md
60V Electric Dirt Bikes,60v electric dirt bike,Build now,Build now,Build now,/adult-dirt-bikes/60v/,60V Electric Dirt Bikes,Collection / Guide,draft-data-needed,Standalone page,Header Dropdown,60V Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\adult-60v.md
Electric Dirt Bike vs Razor,razor electric dirt bike,Build now,Build now,Build now,/blog/compare/razor-alternatives/,Razor Dirt Rocket Alternatives for Kids & Youth,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,Razor Dirt Rocket Alternatives for Kids & Youth,D:\Electric Dirt Bike\site-content\pages\compare-razor.md
Best Budget Electric Dirt Bikes,budget friendly electric dirt bike,Build now,Build now,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Stark Electric Dirt Bike Alternatives,stark varg electric dirt bike,Build now,Build now,Build now,/blog/compare/stark-varg-alternatives/,Stark VARG Alternatives: Start With the Performance Class,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,Stark VARG Alternatives: Start With the Performance Class,D:\Electric Dirt Bike\site-content\pages\compare-stark-varg.md
